SearchTerm,ShortenedURL,FullURL
TIER,http://jump.lmig.com/b7kcgc,https://libertymutual.sharepoint.com/:w:/r/teams/BCDR/Shared Documents/Support-Documents/DR-Website/DR Tier Guide.docx?d=w11185db0f58044b9aa82c3a7d9cbb55b&csf=1
SRM,http://jump.lmig.com/t2fgfb,https://libertymutual.sharepoint.com/teams/BCDR/Disaster Resiliency Wiki/Site Recovery Manager 6 Information.aspx
FIREWALL,http://jump.lmig.com/3embxt,https://libertymutual.sharepoint.com/teams/BCDR/Disaster Resiliency Wiki/Firewalls and DR.aspx
FIREWALLS,http://jump.lmig.com/3embxt,https://libertymutual.sharepoint.com/teams/BCDR/Disaster Resiliency Wiki/Firewalls and DR.aspx
CYBERARK,http://jump.lmig.com/rr34ra,https://libertymutual.sharepoint.com/:w:/r/teams/BCDR/Shared Documents/Support-Documents/User-Procedures/DR Test - CyberArk Access Intructions.docx?d=wd1a0709bcb8349e9b70f0caeda42dd6a&csf=1
BLADELOGIC,http://jump.lmig.com/9ygx27,https://libertymutual.sharepoint.com/:w:/r/teams/BCDR/Shared Documents/Support-Documents/User-Procedures/DR Test - BladeLogic Procedures.doc?d=wbd35813f7ad94111bf02ebca3f7116d5&csf=1
VPN,http://jump.lmig.com/c5exr4,https://libertymutual.sharepoint.com/:w:/r/teams/BCDR/Shared Documents/Support-Documents/User-Procedures/DR Test - VPN Instructions.docx?d=wb1fbc9a272274557a724be928d75449c&csf=1
VDE,http://jump.lmig.com/x8rbfw,https://libertymutual.sharepoint.com/:w:/r/teams/BCDR/Shared Documents/Support-Documents/User-Procedures/DR Test - VDE Instructions.docx?d=wabfff7a36dbf4713bc77eb622b773163&csf=1
EVENT TRACKER,http://jump.lmig.com/pdcmze,https://libertymutual.sharepoint.com/:w:/r/teams/BCDR/Shared Documents/Support-Documents/User-Procedures/DR Event Tracker Instructions.docx?d=w07ba700f2c1d44049cf324a7d7319d83&csf=1
TROUX,http://jump.lmig.com/tsgscp,https://libertymutual.sharepoint.com/:w:/r/teams/BCDR/Shared Documents/Support-Documents/DR-Website/DR Troux Instructions.docx?d=wd4101c8e22ab4ff783dda7b5e90956d5&csf=1
EXERCISE,http://jump.lmig.com/md2nf8,https://libertymutual.sharepoint.com/teams/BCDR/Disaster%20Resiliency%20Wiki/2019%20Schedule%20of%20DR%20DC%20Exercises.aspx
EXERCISES,http://jump.lmig.com/md2nf8,https://libertymutual.sharepoint.com/teams/BCDR/Disaster%20Resiliency%20Wiki/2019%20Schedule%20of%20DR%20DC%20Exercises.aspx
WIKI,http://jump.lmig.com/3y8zt2,https://libertymutual.sharepoint.com/teams/BCDR/Disaster%20Resiliency%20Wiki/Home.aspx
PORTAL,http://jump.lmig.com/y4spcn,https://libertymutual.sharepoint.com/sites/ITResiliencyPortal
RESILIENCY,http://jump.lmig.com/y4spcn,https://libertymutual.sharepoint.com/sites/ITResiliencyPortal
IRR,http://jump.lmig.com/d9f23x,https://app.powerbi.com/groups/me/apps/301491f8-c667-4ef8-9fc8-c3f4447df781/dashboards/fdca0925-05d5-49e4-bba2-882295bfb430
STATUS,http://jump.lmig.com/dailystatus,https://app.powerbi.com/groups/me/apps/793532e4-2306-483e-8d56-fadd65665945/reports/e010d45f-abc9-4b39-9428-aada346a9bb2/ReportSection
OPT,http://jump.lmig.com/n7aheb,https://libertymutual.sharepoint.com/sites/ITResiliencyPortal/Lists/OptOut/AllItems.aspx
OUT,http://jump.lmig.com/n7aheb,https://libertymutual.sharepoint.com/sites/ITResiliencyPortal/Lists/OptOut/AllItems.aspx
CERTIFICATION,http://jump.lmig.com/agk6ef,https://app.powerbi.com/groups/me/apps/71ac50aa-5294-47e8-a48e-e44effbe03c6/reports/6015a296-c844-48e1-9b7b-ed84ba3e92d6/ReportSection905049f350b103b848b8
SCORECARD,http://jump.lmig.com/agk6ef,https://app.powerbi.com/groups/me/apps/71ac50aa-5294-47e8-a48e-e44effbe03c6/reports/6015a296-c844-48e1-9b7b-ed84ba3e92d6/ReportSection905049f350b103b848b8
